arXiv Id,Category Id,Year,University
1901.00101,astro-ph,2019,Cornell University
1901.00174,cond-mat,2019,Cornell University
1901.00247,cs,2019,Cornell University
1901.0032,econ,2019,Cornell University
1901.00393,eess,2019,Cornell University
1901.00466,hep,2019,Cornell University
1901.00539,math,2019,Cornell University
1901.00612,physics,2019,Cornell University
1901.00685,q-bio,2019,Cornell University
1901.00758,q-fin,2019,Cornell University
1901.00831,stat,2019,Cornell University
1901.00904,astro-ph,2020,Cornell University
1901.00977,cond-mat,2020,Cornell University
1901.0105,cs,2020,Cornell University
1901.01123,econ,2020,Cornell University
1901.01196,eess,2020,Cornell University
1901.01269,hep,2020,Cornell University
1901.01342,math,2020,Cornell University
1901.01415,physics,2020,Cornell University
1901.01488,q-bio,2020,Cornell University
1901.01561,q-fin,2020,Cornell University
1901.01634,stat,2020,Cornell University
1901.01707,astro-ph,2021,Cornell University
1901.0178,cond-mat,2021,Cornell University
1901.01853,cs,2021,Cornell University
1901.01926,econ,2021,Cornell University
1901.01999,eess,2021,Cornell University
1901.02072,hep,2021,Cornell University
1901.02145,math,2021,Cornell University
1901.02218,physics,2021,Cornell University
1901.02291,q-bio,2021,Cornell University
1901.02364,q-fin,2021,Cornell University
1901.02437,stat,2021,Cornell University
1901.0251,hep,2020,Cornell University
1901.02583,math,2020,Cornell University
1901.02656,physics,2020,Cornell University
1901.02729,q-bio,2019,Cornell University
1901.02802,q-fin,2019,Cornell University
1901.02875,stat,2019,Cornell University
1901.02948,q-fin,2022,Cornell University
1901.03021,stat,2022,Cornell University
1901.03094,hep,2022,Cornell University
1901.03167,math,2022,Cornell University
1901.0324,physics,2022,Cornell University
1901.03313,q-bio,2022,Cornell University
1901.03386,q-fin,2022,Cornell University
1901.03459,stat,2022,Cornell University
